tick,poblacion_total,edad_media,menores,adultos,casados
1,30,32.37,0,30,0
2,31,32.29,1,30,0
3,32,32.25,2,30,0
4,33,32.24,3,30,0
5,33,33.24,3,30,0
6,33,34.24,3,30,0
7,33,35.24,3,30,0
8,33,36.24,3,30,0
9,34,36.15,4,30,0
10,34,37.15,4,30,0
11,33,38.24,4,29,0
12,34,38.09,5,29,0
13,35,37.97,6,29,0
14,36,37.89,7,29,0
15,36,38.89,7,29,0
16,36,39.89,7,29,0
17,37,39.78,8,29,0
18,37,40.78,8,29,0
19,37,41.78,8,29,0
20,37,42.78,7,30,2
21,36,44.81,5,31,2
22,36,45.81,4,32,2
23,35,46.23,4,31,2
24,35,47.23,4,31,2
25,35,48.23,4,31,2
26,34,48.71,4,30,4
27,34,49.71,3,31,4
28,33,50.18,3,30,4
29,33,51.18,3,30,4
30,32,52.94,2,30,4
31,31,53.9,1,30,4
32,31,54.9,1,30,4
33,31,55.9,1,30,4
34,31,56.9,1,30,4
35,31,57.9,0,31,4
36,31,58.9,0,31,4
37,30,59.47,0,30,4
38,28,61.36,0,28,4
39,27,61.81,0,27,4
40,27,62.81,0,27,4
41,26,63.42,0,26,4
42,24,62.96,0,24,4
43,24,63.96,0,24,4
44,24,64.96,0,24,6
45,24,65.96,0,24,6
46,22,65.55,0,22,6
47,21,66.0,0,21,6
48,20,66.4,0,20,6
49,17,64.88,0,17,4
50,17,65.88,0,17,4
51,17,66.88,0,17,4
52,16,67.25,0,16,4
53,16,68.25,0,16,4
54,15,69.07,0,15,4
55,13,69.69,0,13,2
56,12,68.5,0,12,2
57,12,69.5,0,12,2
58,11,69.36,0,11,2
59,11,70.36,0,11,2
60,10,70.2,0,10,2
61,9,69.89,0,9,2
62,8,72.38,0,8,2
63,7,71.14,0,7,0
64,6,69.0,0,6,0
65,6,70.0,0,6,0
66,6,71.0,0,6,0
67,6,72.0,0,6,0
68,6,73.0,0,6,0
69,6,74.0,0,6,0
70,6,75.0,0,6,0
71,6,76.0,0,6,0
72,6,77.0,0,6,0
73,6,78.0,0,6,0
74,5,76.6,0,5,0
75,4,73.5,0,4,0
76,3,66.33,0,3,0
77,3,67.33,0,3,0
78,3,68.33,0,3,0
79,3,69.33,0,3,0
80,3,70.33,0,3,0
81,3,71.33,0,3,0
82,3,72.33,0,3,0
83,3,73.33,0,3,0
84,3,74.33,0,3,0
85,2,76.5,0,2,0
86,2,77.5,0,2,0
87,2,78.5,0,2,0
88,2,79.5,0,2,0
89,2,80.5,0,2,0
90,2,81.5,0,2,0
91,2,82.5,0,2,0
92,1,88.0,0,1,0
93,1,89.0,0,1,0
94,1,90.0,0,1,0
95,1,91.0,0,1,0
96,1,92.0,0,1,0
97,1,93.0,0,1,0
98,1,94.0,0,1,0
99,1,95.0,0,1,0
100,1,96.0,0,1,0
101,0,0.0,0,0,0
